dataset,basin_id,n,ac1,nse_tfm,nse_pers,err_wet,err_dry,gain_lin,gain_gbt,gain_gbt_pers,gain_gbt_shuf,wet_dry
CAMELS-AUS,119003A,1314,0.884171370805899,0.63607705,0.8137378,2.189734935760498,0.07455538213253021,-9.778354810457845,-11.86495998777133,-3.697319743977604,-7.770421077165789,29.370581614993384
CAMELS-AUS,120102A,1231,0.7798813808642922,0.4111184,0.61059284,2.529097080230713,0.22464215755462646,-0.9299288080365595,-2.6772304035788372,-0.06882507492382284,-1.6756357368678971,11.258336848975953
CAMELS-AUS,120301B,1314,0.9361586025944045,0.77577376,0.8713219,0.7355501055717468,0.32692450284957886,-0.050230405651686905,-0.11536682597250181,-0.012411919227084622,-0.10743751786796762,2.2499081566553016
CAMELS-AUS,120304A,1314,0.5503028939432255,0.3696103,0.44391274,3.146605968475342,0.6872358918190002,-1.1273525470259518,-0.8631990972252763,-0.5383549786870301,-0.2578011581441708,4.578640327045193
CAMELS-AUS,121001A,1312,0.6489666573151389,0.18231225,-0.3059678,3.5526154041290283,0.12578184902668,-0.6028218071279559,0.5473199935780408,-0.14017024620578256,-1.6859697498507318,28.244261247705712
CAMELS-AUS,121002A,1243,0.6332401440170705,0.34494352,0.44431734,5.358084678649902,0.08344820886850357,0.5733261854958394,0.4131909260096561,0.19801293005660014,-0.3131139311848927,64.20850430826013
CAMELS-AUS,121003A,1314,0.5216422492247652,0.22984332,-0.039604068,3.3535537719726562,0.12904536724090576,-0.5457527969604266,-0.02381613333658006,-0.2280055382659918,-0.15204976222211775,25.987401513702864
CAMELS-AUS,122004A,1314,0.6134319370047323,0.22046041,-0.086330414,2.3863961696624756,0.10623644292354584,-0.043916858099447786,0.10366164153489099,-0.18493573567665056,-0.4142995818651194,22.46306544148763
CAMELS-AUS,124002A,1238,0.6874137391087416,0.4088462,0.48772418,1.4174283742904663,0.09243860840797424,-0.25686784554152964,0.35801426971111916,0.2868868361188226,-1.8059560266784325,15.333726877785748
CAMELS-AUS,125005A,1314,0.5516348827619189,0.35281026,0.31301832,1.4887280464172363,0.1274057775735855,-9.280793536494873,-4.5650931327269015,-8.373519915656491,-8.70540870030956,11.68493356243122
CAMELS-AUS,126003A,1314,0.46821308457664446,0.04670608,-0.5198082,3.3691461086273193,0.11951477825641632,0.11597785995472465,0.030269945807351983,0.17391653052437528,-0.2626307344045793,28.190205075717838
CAMELS-AUS,129001A,1314,0.6244913765980664,0.32409072,0.30370057,1.66457200050354,0.14356055855751038,0.5406020512745776,0.6609194273551457,0.5835296146377209,-0.09495881471779222,11.594911702971066
CAMELS-AUS,130004A,1314,0.40407836257870205,0.20589417,0.03362918,2.823047637939453,0.14450901746749878,-0.2313086257729804,-0.031173114980075578,-0.07514756869133277,-0.04179453630813179,19.53544275238311
CAMELS-AUS,130302A,1314,0.8820988733847154,0.6904973,0.76024616,1.4574272632598877,0.36670011281967163,0.19585869609668927,0.26640478074729756,0.1487492634165284,-0.002748590895483183,3.9744390915325183
CAMELS-AUS,130324A,1314,0.7684044509821633,0.46413153,0.51336884,1.1848422288894653,0.3859134912490845,0.05982306159120765,0.050849020928843025,0.007928946708494311,-0.00017701495148259028,3.0702275399973495
CAMELS-AUS,130403A,1314,0.5914729668570516,0.28604585,0.15224749,2.3626317977905273,0.1729072481393814,-28.576956426944335,-18.678404077529503,-23.946690417109963,-12.381106969326314,13.664157073889683
CAMELS-AUS,130410A,1314,0.3142290764957579,0.0035238862,-0.42451942,4.443819999694824,0.7627755999565125,0.05671404409227909,0.06434150211636536,0.055132805230167725,0.003980782693585705,5.825854943378074
CAMELS-AUS,130413A,1314,0.4666558395481126,0.38660628,0.27721506,2.6122586727142334,0.26976266503334045,-8.072402096192574,-6.058065122285609,-5.878651558496528,-9.216314734473832,9.683544134587267
CAMELS-AUS,132001A,1314,0.5612734015256755,0.15325236,-0.25007045,3.1284115314483643,0.2723211646080017,0.1788167099368142,0.09955681831850716,0.08514209845325182,-0.025331488811325187,11.487948562322067
CAMELS-AUS,135002A,1314,0.533345484084394,0.5636544,0.50993586,1.9190808534622192,0.5025278925895691,0.020834438059916804,-0.008046704218854561,0.008285422567332335,-0.01822004572195035,3.8188543994504105
CAMELS-AUS,135004A,1314,0.486094299987178,0.26416546,-0.05754721,2.2020344734191895,0.27568694949150085,0.053016158473906394,0.012940825024171154,0.01601205026868524,0.001174337229445488,7.987445461168178
CAMELS-AUS,136006A,1314,0.3656630807156516,0.38220835,0.2799307,2.6107373237609863,0.3642086088657379,0.06390799821577875,0.04804609831280271,0.08845540700162591,-0.020471219953701825,7.1682471534422465
CAMELS-AUS,136202D,1314,0.5613556783445841,0.20491654,0.19560891,2.9706671237945557,0.065045565366745,0.06971372944937548,0.020236086975915946,0.003434163771374621,0.0007494952257204313,45.670555817988635
